total_keystrokes,avg_inter_key_time_ms,total_clicks,avg_inter_click_time_ms,scroll_events,avg_scroll_magnitude,active_application,application_category
4.8283137373023015,5.157905212831292,0.0,,0.0,,Slack,Comunicación
4.844187086458591,5.26544976292242,0.0,,0.0,,Slack,Comunicación
4.7535901911063645,5.444579873526289,0.0,,0.0,,Slack,Comunicación
5.288267030694535,5.390592642657207,0.0,,0.0,,Slack,Comunicación
4.74493212836325,5.238744275013135,0.0,,0.0,,Slack,Comunicación
4.356708826689592,5.192401140956488,0.0,,0.0,,Slack,Comunicación
4.990432586778736,5.365976015021851,0.0,,0.0,,Slack,Comunicación
5.087596335232384,5.353752073436137,0.0,,0.0,,Zoom,Comunicación
5.062595033026967,5.29213160746095,0.0,,0.0,,Zoom,Comunicación
4.9344739331306915,5.122375416718121,0.0,,0.0,,Zoom,Comunicación
4.9344739331306915,5.389680372562009,0.0,,0.0,,Zoom,Comunicación
4.820281565605037,5.409262260499764,0.0,,0.0,,Zoom,Comunicación
4.605170185988092,5.3061201786110574,0.0,,0.0,,Zoom,Comunicación
4.990432586778736,5.41179485030781,0.0,,0.0,,Copilot,IDE/Desarrollo
5.220355825078325,5.311233591814583,0.0,,0.0,,Copilot,IDE/Desarrollo
4.718498871295094,5.266998683290609,0.0,,0.0,,Copilot,IDE/Desarrollo
4.248495242049359,5.235377566774162,0.0,,0.0,,Copilot,IDE/Desarrollo
4.90527477843843,5.15502419672156,0.0,,0.0,,Copilot,IDE/Desarrollo
4.976733742420574,5.204006687076795,0.0,,0.0,,Copilot,IDE/Desarrollo
4.997212273764115,5.341217200863257,0.0,,0.0,,Copilot,IDE/Desarrollo
5.056245805348308,5.360979127672747,0.0,,0.0,,Terminal,Desarrollo/Terminal
4.61512051684126,5.193882348411154,0.0,,0.0,,Terminal,Desarrollo/Terminal
5.187385805840755,5.36441716825256,0.0,,0.0,,Terminal,Desarrollo/Terminal
5.075173815233827,5.367065763709131,0.0,,0.0,,Terminal,Desarrollo/Terminal
4.875197323201151,5.254887808620701,0.0,,0.0,,Terminal,Desarrollo/Terminal
5.093750200806762,5.443715569237393,0.0,,0.0,,Terminal,Desarrollo/Terminal
5.081404364984463,5.374969718069119,0.0,,0.0,,Terminal,Desarrollo/Terminal
